

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master4,1474,1469,15,1454,4,1,0,0,11988.9,15731.7
cvc4_bags4,1474,1260,10,1250,185,28,1,0,53597.8,122084.5



DIRECTORY,cvc4_master4,cvc4_bags4
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/copy_postcondition_of_copy_26_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/copy_postcondition_of_copy_27_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/copy_postcondition_of_copy_52_4.smt2,ok,20,0,50.11,101.7,ok,20,0,0.09,23.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/copy_postcondition_of_copy_53_3.smt2,ok,20,0,0.01,2.4,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_check_free_58_8.smt2,ok,20,0,0.14,19.9,ok,20,0,0.89,56.8
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_check_heap_access_57_8.smt2,ok,20,0,0.2,20.3,ok,20,0,0.79,54.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_check_heap_access_60_12.smt2,ok,20,0,0.09,19.3,ok,20,0,1.4,70.9
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_invariant_37_4.smt2,ok,20,0,0.01,8.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_loop_check_heap_access_48_8.smt2,ok,20,0,0.04,16.8,ok,20,0,0.7,29.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_loop_check_heap_access_49_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.39,28.3
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_loop_check_heap_access_51_8.smt2,ok,20,0,0.04,17.6,ok,20,0,0.34,27.2
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_loop_invariant_52_5.smt2,ok,20,0,9.09,39.8,ok,20,0,181.16,188.1
/barrett/scratch/mahgoubyahia/sets/grassbench201401/sets/delete_postcondition_of_delete_61_12.smt2,ok,20,0,6.98,41.3,ok,20,0,5.19,157.2
