

DIRECTORY,g_total,g_solved,g_sat,g_unsat,g_unknown,g_time,g_mem,g_err,time_cpu,memory
cvc4_master,1982,1762,1,1761,8,2,0,210,13492.7,18026.2
cvc4_bags,1982,1559,0,1559,188,24,1,210,46842.8,114697.8



DIRECTORY,cvc4_master,cvc4_bags
benchmark,status,result,exit_code,time_cpu,memory,status,result,exit_code,time_cpu,memory
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_postcondition_of_copy_25_2.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_postcondition_of_copy_26_1.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_postcondition_of_copy_27_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_postcondition_of_copy_52_4.smt2,ok,20,0,40.39,79.1,ok,20,0,34.17,79.1
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/copy_postcondition_of_copy_53_3.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_check_free_58_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.1,19.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_check_heap_access_57_8.smt2,ok,20,0,0.1,19.5,ok,20,0,0.1,19.5
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_check_heap_access_60_12.smt2,ok,20,0,0.09,19.5,ok,20,0,0.1,21.8
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_invariant_37_4.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_loop_check_heap_access_48_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
/barrett/scratch/mahgoubyahia/sets/grassbench201401/nosets/delete_loop_check_heap_access_49_8.smt2,ok,20,0,0.0,0.0,ok,20,0,0.0,0.0
